Datglo  Datglo.softmasked.fasta
Rubell  Rubus_ellipticus.softmasked.fasta
Elaang  Elaeagnus_angustifolia.softmasked.fasta
Rubide  Rubus_idaeus_AB.softmasked.fasta
Purtri  Purshia_tridentata.softmasked.fasta
Filulm  Filipendula_ulmaria.softmasked.fasta
Coluli  Colletia_ulcina.softmasked.fasta
Ceathy  Ceanothus_thyrsiflorus.softmasked.fasta
Colpar  Colletia_paradoxa.softmasked.fasta
Cermon  Cercocarpus_montanus.softmasked.fasta
Sagthe  Sageretia_theezans.softmasked.fasta
Maldom  Maldom.fna
Purtri  GCA_003254885.1_ASM325488v1_genomic.fna
Zizjuj  GCF_000826755.1_ZizJuj_1.1_genomic.fna
Pyrbre  GCF_000315295.1_Pbr_v1.0_genomic.fna
Prumum  GCF_000346735.1_P.mume_V1.0_genomic.fna
Drydru  GCA_003254865.1_ASM325486v1_genomic.fna
Pyrcom  Pyrus_communis_v1.0-scaffolds.fna
Geuurb  GCA_900236755.1_G_urb_d1_genomic.fna
Rubocc  Rubus_occidentalis_v1.0.a1.scaffolds.fasta
Roschi  RchiOBHm-V2.genome.fasta
Pruper  Prunus_persica_v2.0.a1_scaffolds.fasta
Pruavi  Prunus_avium_v1.0.a1_pseudomolecule.fasta
Fraana  Fragaria_x_ananassa_Reference_Genome_v1.0_FANhybrid_r1.2_scaffolds.fasta
Fraves  Fragaria_vesca_v4.0.a1.ns.fasta
Fracam  F_ana_Camarosa_6-28-17_hardmasked.fasta
Lotjap  GCA_000181115.2_Lj3.0_genomic.fna
Medtru  Medtru.fna
Distri  GCA_003254975.1_ASM325497v1_genomic.fna
Parand  PanWU01x14.scf.fasta
